method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,CA1 Radiatum Giant,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA1 Radiatum Giant,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA1 Radiatum Giant,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA1 Radiatum Giant,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA1 Radiatum Giant,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA1 Radiatum Giant,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA1 Radiatum Giant,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA1 Radiatum Giant,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA1 Radiatum Giant,11,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA1 Radiatum Giant,12,transition,CA3c Pyramidal,CA2 Pyramidal,24424.53581944845
greedy_tree_path,CA1 Radiatum Giant,13,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,CA1 Radiatum Giant,14,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA1 Radiatum Giant,15,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA2 Pyramidal,1,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA2 Pyramidal,2,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA2 Pyramidal,3,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA2 Pyramidal,4,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA2 Pyramidal,5,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA2 Pyramidal,6,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA2 Pyramidal,7,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA2 Pyramidal,8,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA2 Pyramidal,9,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA2 Pyramidal,12,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA2 Pyramidal,14,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA2 Pyramidal,15,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA2 Pyramidal,16,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA2 Pyramidal,1,transition,CA2 Pyramidal,CA1 Pyramidal,5532.563189259333
greedy_tree_path,CA2 Pyramidal,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA2 Pyramidal,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA2 Pyramidal,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA2 Pyramidal,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA2 Pyramidal,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA2 Pyramidal,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA2 Pyramidal,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA2 Pyramidal,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA2 Pyramidal,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA2 Pyramidal,11,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA2 Pyramidal,12,transition,CA3c Pyramidal,DG Granule,7159.489110348726
greedy_tree_path,CA2 Pyramidal,13,transition,DG Granule,DG Mossy,44908.709978571016
greedy_tree_path,CA2 Pyramidal,14,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA2 Pyramidal,15,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA2 Pyramidal,16,transition,CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763
greedy_tree_path,CA3 Granule,2,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA3 Granule,3,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA3 Granule,4,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA3 Granule,5,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA3 Granule,6,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA3 Granule,7,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA3 Granule,8,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA3 Granule,9,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA3 Granule,10,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA3 Granule,12,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA3 Granule,13,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA3 Granule,14,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA3 Granule,15,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA3 Granule,1,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA3 Granule,2,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,CA3 Granule,3,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA3 Granule,4,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA3 Granule,5,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA3 Granule,6,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA3 Granule,7,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA3 Granule,8,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA3 Granule,9,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA3 Granule,10,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA3 Granule,11,transition,MEC LII Stellate,CA2 Pyramidal,6045.530483170607
greedy_tree_path,CA3 Granule,12,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,CA3 Granule,13,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA3 Granule,14,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA3 Granule,15,transition,CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763
greedy_tree_path,CA3 Pyramidal,1,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA3 Pyramidal,2,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA3 Pyramidal,3,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA3 Pyramidal,4,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA3 Pyramidal,5,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA3 Pyramidal,6,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA3 Pyramidal,7,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA3 Pyramidal,8,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA3 Pyramidal,9,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA3 Pyramidal,10,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA3 Pyramidal,13,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA3 Pyramidal,15,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA3 Pyramidal,16,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA3 Pyramidal,1,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,CA3 Pyramidal,2,transition,CA2 Pyramidal,CA1 Pyramidal,5532.563189259333
greedy_tree_path,CA3 Pyramidal,3,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA3 Pyramidal,4,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA3 Pyramidal,5,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA3 Pyramidal,6,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA3 Pyramidal,7,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA3 Pyramidal,8,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA3 Pyramidal,9,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA3 Pyramidal,10,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA3 Pyramidal,11,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA3 Pyramidal,12,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,CA3 Pyramidal,13,transition,CA3c Pyramidal,DG Granule,7159.489110348726
greedy_tree_path,CA3 Pyramidal,14,transition,DG Granule,DG Mossy,44908.709978571016
greedy_tree_path,CA3 Pyramidal,15,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA3c Pyramidal,1,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA3c Pyramidal,2,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA3c Pyramidal,3,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA3c Pyramidal,4,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA3c Pyramidal,5,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA3c Pyramidal,6,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA3c Pyramidal,7,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA3c Pyramidal,8,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA3c Pyramidal,9,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA3c Pyramidal,12,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA3c Pyramidal,13,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA3c Pyramidal,14,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA3c Pyramidal,15,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA3c Pyramidal,1,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,CA3c Pyramidal,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,CA3c Pyramidal,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,CA3c Pyramidal,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,CA3c Pyramidal,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,CA3c Pyramidal,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,CA3c Pyramidal,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,CA3c Pyramidal,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,CA3c Pyramidal,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,CA3c Pyramidal,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,CA3c Pyramidal,11,transition,CA3 Granule,CA3 Pyramidal,0.942018883295193
greedy_tree_path,CA3c Pyramidal,12,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,CA3c Pyramidal,13,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,CA3c Pyramidal,14,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,DG Granule,2,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,DG Granule,3,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,DG Granule,4,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,DG Granule,5,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,DG Granule,6,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,DG Granule,7,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,DG Granule,8,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,DG Granule,9,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,DG Granule,10,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,DG Granule,11,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,DG Granule,12,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,DG Granule,15,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,DG Granule,16,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,DG Granule,1,transition,DG Granule,DG Mossy,44908.709978571016
greedy_tree_path,DG Granule,2,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,DG Granule,3,transition,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
greedy_tree_path,DG Granule,4,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,DG Granule,5,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,DG Granule,6,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,DG Granule,7,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,DG Granule,8,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,DG Granule,9,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Granule,10,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Granule,11,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Granule,12,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Granule,13,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Granule,14,transition,CA3 Granule,CA3 Pyramidal,0.942018883295193
greedy_tree_path,DG Granule,15,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,DG Granule,16,transition,CA2 Pyramidal,CA1 Radiatum Giant,263.0645063940111
greedy_tree_path,DG Hilar Ectopic Granule,1,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,DG Hilar Ectopic Granule,2,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,DG Hilar Ectopic Granule,4,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,DG Hilar Ectopic Granule,5,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,DG Hilar Ectopic Granule,6,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,DG Hilar Ectopic Granule,7,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,DG Hilar Ectopic Granule,8,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,DG Hilar Ectopic Granule,9,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,DG Hilar Ectopic Granule,10,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,DG Hilar Ectopic Granule,11,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,DG Hilar Ectopic Granule,12,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,DG Hilar Ectopic Granule,15,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,DG Hilar Ectopic Granule,1,transition,DG Hilar Ectopic Granule,DG Mossy,1.6138578915994803
greedy_tree_path,DG Hilar Ectopic Granule,2,transition,DG Mossy,DG Granule,968.2502990077752
greedy_tree_path,DG Hilar Ectopic Granule,3,transition,DG Granule,CA2 Pyramidal,3360.733225493062
greedy_tree_path,DG Hilar Ectopic Granule,4,transition,CA2 Pyramidal,CA1 Pyramidal,5532.563189259333
greedy_tree_path,DG Hilar Ectopic Granule,5,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,DG Hilar Ectopic Granule,6,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,DG Hilar Ectopic Granule,7,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,DG Hilar Ectopic Granule,8,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,DG Hilar Ectopic Granule,9,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Hilar Ectopic Granule,10,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Hilar Ectopic Granule,11,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Hilar Ectopic Granule,12,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Hilar Ectopic Granule,13,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Hilar Ectopic Granule,14,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,DG Hilar Ectopic Granule,15,transition,CA3c Pyramidal,CA1 Radiatum Giant,4064.510468839344
greedy_tree_path,DG Mossy,1,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,DG Mossy,2,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
