sender,receiver,inhibitory_weight,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 Trilaminar,SUB CA1 Projecting Pyramidal,0.0007515252287612384,1.8954834973241436e-05,1.915181510916096e-05,1.96980135919525e-07
CA1 Trilaminar,CA1 Pyramidal,0.0016827748563980436,1.8954834973241436e-05,1.9002505858485043e-05,4.767088524360724e-08
CA1 Basket CCK+,CA1 Pyramidal,0.013062310749520103,1.8954834973241436e-05,1.8982723820471295e-05,2.7888847229859404e-08
CA1 Horizontal Basket,CA1 Pyramidal,0.00356988797915395,1.8954834973241436e-05,1.897614802423217e-05,2.131305099073444e-08
CA1 Basket,CA1 Pyramidal,0.007870372189833946,1.8954834973241436e-05,1.8972377971220207e-05,1.7542997978771402e-08
CA1 Back Projection,CA1 Pyramidal,0.003339444487392623,1.8954834973241436e-05,1.897073425504922e-05,1.5899281807785215e-08
CA1 Bistratified,CA1 Pyramidal,0.002417254198577918,1.8954834973241436e-05,1.8960205695686336e-05,5.370722444900111e-09
CA1 Back Projection,CA3 Basket,0.037141701445267655,1.8954834973241436e-05,1.8958033547804634e-05,3.1985745631984974e-09
CA1 SO SO,CA1 Pyramidal,0.0004205358160545056,1.8954834973241436e-05,1.8957098917311843e-05,2.263944070407531e-09
CA1 Back Projection,CA3 Basket CCK+,0.009885532175319683,1.8954834973241436e-05,1.895662904876673e-05,1.794075525293759e-09
CA1 Ivy,CA1 Pyramidal,0.0016006244474086671,1.8954834973241436e-05,1.8956609335594662e-05,1.7743623532268105e-09
CA1 Trilaminar,CA1 Back Projection,0.005455312798089905,1.8954834973241436e-05,1.8956459220231814e-05,1.6242469903782197e-09
CA3 Basket,CA3c Pyramidal,0.008818968661044695,1.8954834973241436e-05,1.895619141927679e-05,1.356446035355452e-09
CA1 Oriens Alveus,CA1 Pyramidal,0.0004574697506595274,1.8954834973241436e-05,1.8955997295462546e-05,1.1623222211099016e-09
CA3 Basket CCK+,CA3c Pyramidal,0.01811458588939647,1.8954834973241436e-05,1.8955919498993626e-05,1.0845257521902019e-09
CA1 OR LM,CA1 Pyramidal,0.00027667292654338677,1.8954834973241436e-05,1.8955695450401447e-05,8.604771600112526e-10
CA1 Horizontal Axo Axonic,CA1 Pyramidal,0.00013656892460453196,1.8954834973241436e-05,1.895537912755159e-05,5.441543101530888e-10
CA1 O LMR,CA1 Pyramidal,0.00044138374541886904,1.8954834973241436e-05,1.8955296487602885e-05,4.6151436144947766e-10
CA1 Recurrent O LM,CA1 Pyramidal,0.00021452942879768855,1.8954834973241436e-05,1.895525834309797e-05,4.233698565336841e-10
CA2 Wide Arbor Basket,CA1 Pyramidal,0.008236868223997008,1.8954834973241436e-05,1.895523930096031e-05,4.0432771887533026e-10
CA1 O LM,CA1 Pyramidal,0.0003335011518248075,1.8954834973241436e-05,1.895515793680358e-05,3.229635621437854e-10
CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,0.0062694676731645076,1.8954834973241436e-05,1.8955124801555562e-05,2.898283141261615e-10
CA1 Radial Trilaminar,CA1 Pyramidal,0.00020136228404233998,1.8954834973241436e-05,1.8955079288021648e-05,2.443147802122514e-10
CA1 Trilaminar,CA2 Wide Arbor Basket,0.0007937620748137537,1.8954834973241436e-05,1.8955040772313664e-05,2.057990722281744e-10
CA1 Back Projection,CA3 O LM,0.016962773079905714,1.8954834973241436e-05,1.8955035048906672e-05,2.0007566523677633e-10
CA3 Basket,CA3 Pyramidal,0.007035784351889951,1.8954834973241436e-05,1.895502657175193e-05,1.915985104947171e-10
CA1 Trilaminar,CA1 Bistratified,0.004442021609679934,1.8954834973241436e-05,1.8955025444015788e-05,1.9047077435239979e-10
CA3 Basket CCK+,CA3 Pyramidal,0.017965054413297713,1.8954834973241436e-05,1.895501570743554e-05,1.807341941037488e-10
MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,0.00232964421498605,1.8954834973241436e-05,1.8955007374282795e-05,1.7240104135951562e-10
CA1 LMR,CA1 Perforant Path Associated,0.002748189511710669,1.8954834973241436e-05,1.8954997082873577e-05,1.621096321416382e-10
CA1 Trilaminar,CA1 R Receiving Apical Targeting,0.004873181802764565,1.8954834973241436e-05,1.8954977698919066e-05,1.42725677630684e-10
CA3 O LM,CA3c Pyramidal,0.0008652214539317154,1.8954834973241436e-05,1.8954969928280767e-05,1.3495503933119712e-10
CA1 Horizontal Basket,CA1 Bistratified,0.013971482954689762,1.8954834973241436e-05,1.8954961910468658e-05,1.2693722722251222e-10
CA1 Bistratified,CA1 Back Projection,0.005280115968659898,1.8954834973241436e-05,1.8954960438095437e-05,1.2546485400090346e-10
CA1 SO SO,CA1 Back Projection,0.001970847840809244,1.8954834973241436e-05,1.895494676067838e-05,1.1178743694606474e-10
CA3 O LM,CA3 Pyramidal,0.0040879190609137625,1.8954834973241436e-05,1.8954938091425783e-05,1.031181843472867e-10
CA1 Basket CCK+,CA1 Bistratified,0.031090020131148484,1.8954834973241436e-05,1.8954936482672505e-05,1.0150943106912447e-10
CA1 Trilaminar,CA1 Perforant Path Associated QuadD,0.025380358351145084,1.8954834973241436e-05,1.895493489616749e-05,9.99229260532225e-11
CA1 Oriens Bistratified,CA1 Pyramidal,0.0002765535941721889,1.8954834973241436e-05,1.8954929689103325e-05,9.471586188969372e-11
CA1 Trilaminar,CA1 LMR,0.006703523554201976,1.8954834973241436e-05,1.895492260727341e-05,8.763403197553643e-11
CA1 Ivy,CA1 Back Projection,0.006001340975654749,1.8954834973241436e-05,1.8954906540981017e-05,7.156773958183482e-11
CA1 Oriens Alveus,CA1 Back Projection,0.0025657290192120192,1.8954834973241436e-05,1.8954904226328967e-05,6.92530875310779e-11
CA1 Back Projection,CA1 LMR,0.025373328309231967,1.8954834973241436e-05,1.895489084593506e-05,5.5872693624503533e-11
CA1 Trilaminar,CA1 OR LM,0.0022542615265363436,1.8954834973241436e-05,1.895488552880638e-05,5.0555564942711406e-11
CA1 Basket CCK+,CA1 OR LM,0.02794169093366812,1.8954834973241436e-05,1.8954882695798245e-05,4.7722556809071115e-11
CA1 Horizontal Basket,CA1 OR LM,0.009913002182120352,1.8954834973241436e-05,1.895488208108337e-05,4.710784193284745e-11
CA1 Back Projection,CA1 Bistratified,0.0065021406026247695,1.8954834973241436e-05,1.8954881935484558e-05,4.6962243122061764e-11
CA1 Back Projection,CA3 LMR Targeting,0.007608809619573182,1.8954834973241436e-05,1.8954879843427128e-05,4.487018569199197e-11
CA1 Basket,CA1 Bistratified,0.012587448907979469,1.8954834973241436e-05,1.8954878153056194e-05,4.31798147584872e-11
CA1 Back Projection,CA2 Wide Arbor Basket,0.0009319482659068856,1.8954834973241436e-05,1.895487574708754e-05,4.0773846105013334e-11
CA1 Back Projection,CA1 R Receiving Apical Targeting,0.008146398397198228,1.8954834973241436e-05,1.8954875162142254e-05,4.0188900818360906e-11
CA1 Back Projection,CA1 Perforant Path Associated QuadD,0.0539598504874986,1.8954834973241436e-05,1.8954870758137315e-05,3.578489587985345e-11
CA1 Trilaminar,CA1 O LMR,0.001086534422660498,1.8954834973241436e-05,1.895486908931078e-05,3.4116069344558575e-11
MEC LIII Superficial Multipolar Interneuron,EC LI II Pyramidal Fan,0.0002807475630600689,1.8954834973241436e-05,1.8954867900435393e-05,3.292719395753263e-11
CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,0.00955450458282945,1.8954834973241436e-05,1.8954866662472536e-05,3.168923110030697e-11
CA1 Back Projection,DG AIPRIM,0.012490196443687096,1.8954834973241436e-05,1.895486613235145e-05,3.115911001438931e-11
CA1 Bistratified,CA1 R Receiving Apical Targeting,0.012889469084945005,1.8954834973241436e-05,1.8954864903623393e-05,2.9930381957588015e-11
CA1 Back Projection,CA3 Mossy Fiber Associated,0.009358479177041074,1.8954834973241436e-05,1.895486241181195e-05,2.7438570512905436e-11
CA1 Neurogliaform,CA1 Pyramidal,0.0006051527263667016,1.8954834973241436e-05,1.895486045992538e-05,2.5486683943864996e-11
CA1 Basket,CA1 OR LM,0.01317203513805727,1.8954834973241436e-05,1.8954858610436068e-05,2.3637194632164515e-11
CA1 Quadrilaminar,CA1 Pyramidal,1.5947891481197068e-05,1.8954834973241436e-05,1.8954856782172833e-05,2.1808931396916087e-11
CA2 Wide Arbor Basket,CA3 Basket CCK+,0.02417364145501139,1.8954834973241436e-05,1.8954856001266243e-05,2.1028024807523416e-11
CA1 Back Projection,CA1 Neurogliaform,0.0028532027976872596,1.8954834973241436e-05,1.8954855880255403e-05,2.0907013967286225e-11
CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,0.01990639393507444,1.8954834973241436e-05,1.8954855015258093e-05,2.0042016657395578e-11
CA2 Wide Arbor Basket,CA3 Basket,0.047323472736276656,1.8954834973241436e-05,1.8954854571992877e-05,1.9598751441196605e-11
CA1 Back Projection,CA1 OR LM,0.004310164958204801,1.8954834973241436e-05,1.8954851255564148e-05,1.628232271233543e-11
CA1 Bistratified,CA1 LMR,0.015371938859320068,1.8954834973241436e-05,1.8954850905571544e-05,1.5932330107992776e-11
CA1 Trilaminar,CA1 Schaffer Collateral Associated,0.0005444783996433987,1.8954834973241436e-05,1.895485018375831e-05,1.5210516873809254e-11
CA1 Trilaminar,CA1 O LM,0.000620598567418353,1.8954834973241436e-05,1.8954849854740247e-05,1.4881498811014637e-11
CA1 Radiatum,CA1 Perforant Path Associated,0.0010672581822018135,1.8954834973241436e-05,1.8954849794639017e-05,1.4821397581465945e-11
CA1 Back Projection,CA3 Horizontal Axo Axonic,0.006664135248684147,1.8954834973241436e-05,1.895484943901897e-05,1.4465777534167223e-11
CA3 LMR Targeting,CA3 Pyramidal,0.003254108465132922,1.8954834973241436e-05,1.8954848751471945e-05,1.3778230509645106e-11
CA3 Horizontal Axo Axonic,CA3c Pyramidal,0.00021540273150850731,1.8954834973241436e-05,1.8954848349402725e-05,1.3376161289713195e-11
CA1 Trilaminar,CA1 Radial Trilaminar,0.008139496417787823,1.8954834973241436e-05,1.8954847225510947e-05,1.225226951145908e-11
CA1 Bistratified,CA1 Perforant Path Associated QuadD,0.038966095934488944,1.8954834973241436e-05,1.895484713663846e-05,1.2163397025699574e-11
CA1 Back Projection,CA1 O LMR,0.0021796322230137797,1.8954834973241436e-05,1.895484650149548e-05,1.1528254045822806e-11
DG AIPRIM,DG Basket,0.034041167147512284,1.8954834973241436e-05,1.8954845328269902e-05,1.0355028466635385e-11
CA1 Bistratified,CA1 OR LM,0.005578486217683951,1.8954834973241436e-05,1.8954844892681705e-05,9.919440269179347e-12
CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,0.0001067181657538173,1.8954834973241436e-05,1.8954844788792585e-05,9.815551149650048e-12
CA1 Back Projection,CA3 Trilaminar,0.0007690056229170126,1.8954834973241436e-05,1.8954844666796422e-05,9.693554986478503e-12
CA3 Trilaminar,CA3c Pyramidal,0.0012712429864322897,1.8954834973241436e-05,1.895484458870264e-05,9.61546120503698e-12
CA1 Horizontal Basket,CA1 Radial Trilaminar,0.028796213101358426,1.8954834973241436e-05,1.895484415663333e-05,9.18339189415196e-12
CA1 Back Projection,DG Total Molecular Layer,0.004340455854868522,1.8954834973241436e-05,1.8954843452937548e-05,8.47969611195154e-12
CA1 Back Projection,DG Basket,0.003215310408812793,1.8954834973241436e-05,1.8954843176155478e-05,8.202914042465537e-12
CA1 Ivy,CA1 Bistratified,0.004698558128065818,1.8954834973241436e-05,1.8954842971243002e-05,7.998001566589252e-12
CA2 Basket,CA2 Wide Arbor Basket,0.012126987603283035,1.8954834973241436e-05,1.895484285147596e-05,7.878234523084338e-12
CA1 Trilaminar,CA1 Ivy,0.0027852871289133583,1.8954834973241436e-05,1.895484282169943e-05,7.848457994619196e-12
CA1 Trilaminar,CA1 Radiatum,0.0014948124299141157,1.8954834973241436e-05,1.8954842776267022e-05,7.803025586783363e-12
CA1 Back Projection,CA1 Schaffer Collateral Associated,0.0016577063006481,1.8954834973241436e-05,1.8954842773418606e-05,7.80017717083581e-12
CA1 Back Projection,DG MOLAX,0.004650690224292209,1.8954834973241436e-05,1.8954842687076215e-05,7.713834779266016e-12
CA1 OR LM,CA1 LMR,0.005279766366482249,1.8954834973241436e-05,1.895484258978425e-05,7.616542813115856e-12
CA1 Radial Trilaminar,CA1 Back Projection,0.0005570956430631237,1.8954834973241436e-05,1.895484256583726e-05,7.592595822891735e-12
CA1 SO SO,CA1 Bistratified,0.0009277799900086746,1.8954834973241436e-05,1.8954842547576692e-05,7.574335256221865e-12
DG AIPRIM,DG MOLAX,0.037800398105999646,1.8954834973241436e-05,1.895484246226646e-05,7.489025025120277e-12
CA1 SO SO,CA1 O LMR,0.0012144328738399736,1.8954834973241436e-05,1.8954842233335004e-05,7.260093567995618e-12
CA1 Basket CCK+,CA1 Radial Trilaminar,0.06303878552430389,1.8954834973241436e-05,1.8954842196562335e-05,7.223320899751862e-12
CA3 LMR Targeting,CA3c Pyramidal,0.00031513946370895083,1.8954834973241436e-05,1.8954842038844746e-05,7.065603310763002e-12
DG AIPRIM,DG Total Molecular Layer,0.028115592847653408,1.8954834973241436e-05,1.89548415407189e-05,6.567477464636262e-12
CA1 Perforant Path Associated,DG Granule,0.0007646279510156749,1.8954834973241436e-05,1.895484143114856e-05,6.457907125723139e-12
CA1 Bistratified,CA2 Wide Arbor Basket,0.0002788463346051118,1.8954834973241436e-05,1.8954840773428155e-05,5.800186719806533e-12
CA1 Ivy,CA2 Wide Arbor Basket,0.0005434582338815855,1.8954834973241436e-05,1.8954840656115746e-05,5.682874310020125e-12
CA1 Ivy,CA1 R Receiving Apical Targeting,0.004863222540555757,1.8954834973241436e-05,1.8954840628691502e-05,5.655450066588408e-12
CA1 Horizontal Basket,CA1 Ivy,0.008952674085527926,1.8954834973241436e-05,1.8954840313388163e-05,5.340146727594863e-12
CA1 Oriens Alveus,CA1 Bistratified,0.0013730962442537343,1.8954834973241436e-05,1.895484028871606e-05,5.315474622957783e-12
CA1 Recurrent O LM,CA1 Back Projection,0.0002502354807321728,1.8954834973241436e-05,1.895484016821783e-05,5.194976393507744e-12
CA1 Bistratified,CA1 O LMR,0.0020365021011094424,1.8954834973241436e-05,1.895484004318243e-05,5.069940994806288e-12
CA1 Back Projection,CA1 O LM,0.0012523964343265307,1.8954834973241436e-05,1.8954840032229386e-05,5.05898795077897e-12
CA1 OR LM,CA1 Neurogliaform,0.001049791595547707,1.8954834973241436e-05,1.8954840012918445e-05,5.0396770090443965e-12
CA1 Back Projection,CA3 Axo Axonic,0.017234202109147057,1.8954834973241436e-05,1.8954839618797945e-05,4.645556508919846e-12
CA1 Ivy,CA1 Perforant Path Associated QuadD,0.02901122907638488,1.8954834973241436e-05,1.8954839508878926e-05,4.5356374905880514e-12
CA1 Basket CCK+,CA1 Ivy,0.020157974415751585,1.8954834973241436e-05,1.895483928937569e-05,4.316134255555326e-12
CA1 Oriens Alveus,CA2 Wide Arbor Basket,0.0001823593373938282,1.8954834973241436e-05,1.8954839274091043e-05,4.3008496070084945e-12
MEC LIII Superficial Trilayered Interneuron,EC LII III Pyramidal Tripolar,0.0011033672073519857,1.8954834973241436e-05,1.8954839255742872e-05,4.282501436803088e-12
CA1 Back Projection,CA1 Radial Trilaminar,0.01606452215696947,1.8954834973241436e-05,1.8954839046368688e-05,4.073127252146591e-12
CA1 SO SO,CA1 OR LM,0.0009466164129294523,1.8954834973241436e-05,1.895483901492509e-05,4.0416836544210355e-12
CA1 O LMR,CA1 R Receiving Apical Targeting,0.0034248027625032903,1.8954834973241436e-05,1.895483869184325e-05,3.718601815361211e-12
CA1 O LMR,CA1 LMR,0.007165187081122899,1.8954834973241436e-05,1.895483844568252e-05,3.47244108467315e-12
CA1 Trilaminar,CA1 Recurrent O LM,0.00045139389886695647,1.8954834973241436e-05,1.8954838434347837e-05,3.4611064014811177e-12
MEC LIII Superficial Trilayered Interneuron,EC LI II Pyramidal Fan,0.0005314947397165248,1.8954834973241436e-05,1.8954838244699193e-05,3.2714577574699533e-12
DG Neurogliaform,SUB CA1 Projecting Pyramidal,0.0002558422321386903,1.8954834973241436e-05,1.8954838240194116e-05,3.2669526806028415e-12
CA1 SO SO,CA1 O LM,0.0006982984434600548,1.8954834973241436e-05,1.895483816143767e-05,3.1881962347934945e-12
CA1 Basket,CA1 Radial Trilaminar,0.026361943557310356,1.8954834973241436e-05,1.8954838146550274e-05,3.1733088379226615e-12
CA1 Trilaminar,CA1 Quadrilaminar,0.004721513429805265,1.8954834973241436e-05,1.895483807881279e-05,3.105571355632719e-12
CA1 Ivy,CA1 OR LM,0.0034277370229961117,1.8954834973241436e-05,1.8954838024937484e-05,3.0516960486393074e-12
CA1 SO SO,CA1 Perforant Path Associated QuadD,0.004031667337821075,1.8954834973241436e-05,1.895483799566923e-05,3.0224277941526267e-12
CA1 Bistratified,CA1 Schaffer Collateral Associated,0.0013569641959307371,1.8954834973241436e-05,1.895483797814592e-05,3.004904484960047e-12
CA1 O LM,CA1 LMR,0.0063813608975417145,1.8954834973241436e-05,1.895483783387851e-05,2.860637074442174e-12
DG Total Molecular Layer,DG AIPRIM,0.048746584150988204,1.8954834973241436e-05,1.8954837647080017e-05,2.6738385811020393e-12
CA1 Perforant Path Associated QuadD,CA1 LMR,0.0009940802262097274,1.8954834973241436e-05,1.8954837588326667e-05,2.615085231694181e-12
CA3 Trilaminar,CA1 Perforant Path Associated,0.002972474568810091,1.8954834973241436e-05,1.8954837417871004e-05,2.4446295682212238e-12
CA1 Ivy,CA1 O LMR,0.0019269910090792667,1.8954834973241436e-05,1.8954837376161313e-05,2.4029198769648374e-12
CA1 Recurrent O LM,CA1 LMR,0.002595455701779863,1.8954834973241436e-05,1.8954837338980984e-05,2.3657395487042265e-12
CA1 OR LM,CA1 Perforant Path Associated QuadD,0.005405440584446197,1.8954834973241436e-05,1.8954837322395293e-05,2.3491538575504123e-12
CA1 Bistratified,CA1 O LM,0.0012092106497197895,1.8954834973241436e-05,1.8954837272149028e-05,2.298907592068744e-12
CA1 Oriens Alveus,CA1 O LMR,0.0008105306612351904,1.8954834973241436e-05,1.8954837270858393e-05,2.2976169578026173e-12
CA1 Ivy,CA1 LMR,0.003950568923603709,1.8954834973241436e-05,1.895483702358744e-05,2.0503460040899313e-12
CA1 Oriens Alveus,CA1 Perforant Path Associated QuadD,0.005760040979394386,1.8954834973241436e-05,1.8954837021189943e-05,2.047948507825914e-12
CA1 Basket,CA1 Ivy,0.008608828797554991,1.8954834973241436e-05,1.895483690824047e-05,1.9349990360018055e-12
CA1 Back Projection,CA1 Radiatum,0.0021864794067911857,1.8954834973241436e-05,1.895483689549199e-05,1.922250553176852e-12
CA1 Basket CCK+,CA1 Radiatum Giant,0.0009557193347785923,1.8954834973241436e-05,1.89548368841096e-05,1.91086816508923e-12
CA1 Horizontal Basket,CA1 Radiatum Giant,0.0003412333773174843,1.8954834973241436e-05,1.8954836870869324e-05,1.897627888158837e-12
CA3 Horizontal Axo Axonic,CA3 Pyramidal,0.00018678000266850674,1.8954834973241436e-05,1.8954836847244125e-05,1.874002689139509e-12
CA1 Back Projection,CA1 Ivy,0.0039127904930007775,1.8954834973241436e-05,1.8954836829973218e-05,1.856731782212684e-12
CA1 O LMR,CA1 Perforant Path Associated QuadD,0.012533120656295098,1.8954834973241436e-05,1.895483680253683e-05,1.8292953957166347e-12
CA1 Back Projection,DG HIPP,0.0008336566108424113,1.8954834973241436e-05,1.895483678461367e-05,1.8113722327628423e-12
CA1 Perforant Path Associated QuadD,CA1 Neurogliaform,0.0002060613786968535,1.8954834973241436e-05,1.89548367771665e-05,1.8039250648804739e-12
CA1 Back Projection,CA3 Spiny Lucidum,0.0011106477472186728,1.8954834973241436e-05,1.8954836747922532e-05,1.7746810965224569e-12
CA1 Trilaminar,CA1 Oriens Bistratified,0.00022105913386744899,1.8954834973241436e-05,1.895483671895265e-05,1.7457112144736442e-12
CA1 O LM,CA1 Neurogliaform,0.001160605976757942,1.8954834973241436e-05,1.8954836704387912e-05,1.731146476169343e-12
CA1 Bistratified,CA1 Radiatum,0.0037685388824161125,1.8954834973241436e-05,1.8954836533533262e-05,1.5602918262969112e-12
CA1 Recurrent O LM,CA1 Neurogliaform,0.0005125581792733953,1.8954834973241436e-05,1.895483652804633e-05,1.5548048959423966e-12
DG MOLAX,DG AIPRIM,0.0198389588683543,1.8954834973241436e-05,1.8954836513956907e-05,1.540715471870513e-12
DG AIPRIM,DG Axo Axonic,0.08735344167109715,1.8954834973241436e-05,1.8954836442918246e-05,1.4696768108057867e-12
CA1 Oriens Alveus,CA1 OR LM,0.0007088741534177662,1.8954834973241436e-05,1.8954836408244594e-05,1.4350031579679623e-12
CA1 Back Projection,CA3 Lucidum ORAX,0.02303268772030386,1.8954834973241436e-05,1.8954836352200882e-05,1.3789594466295796e-12
CA1 Oriens Bistratified,CA1 Back Projection,0.0003808508489459627,1.8954834973241436e-05,1.8954836348623882e-05,1.3753824468221154e-12
CA1 Bistratified,CA1 Radial Trilaminar,0.011452003424510773,1.8954834973241436e-05,1.8954836339197395e-05,1.3659559594536574e-12
CA3 Trilaminar,CA3 Pyramidal,0.0010976654005870152,1.8954834973241436e-05,1.8954836312781026e-05,1.3395395903614826e-12
MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,0.008721509396079574,1.8954834973241436e-05,1.8954836275332683e-05,1.3020912473238333e-12
CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,7.44790969420582e-05,1.8954834973241436e-05,1.8954836159547697e-05,1.1863062615580233e-12
CA1 Back Projection,DG Axo Axonic,0.008354278325916285,1.8954834973241436e-05,1.8954836155478036e-05,1.1822366002833817e-12
CA1 Back Projection,CA1 Recurrent O LM,0.0008928058430903499,1.8954834973241436e-05,1.8954836126478664e-05,1.1532372279354774e-12
CA2 Wide Arbor Basket,CA1 Bistratified,0.0219147197446136,1.8954834973241436e-05,1.895483609434378e-05,1.121102342904745e-12
CA1 Radial Trilaminar,CA1 R Receiving Apical Targeting,0.0008514638687132437,1.8954834973241436e-05,1.8954836085823684e-05,1.112582248552485e-12
CA1 O LMR,CA1 Neurogliaform,0.0006734868705744996,1.8954834973241436e-05,1.8954836059558236e-05,1.0863168004027202e-12
CA1 Back Projection,CA1 Quadrilaminar,0.009805734301198693,1.8954834973241436e-05,1.8954836059367416e-05,1.0861259808203627e-12
CA1 Oriens Alveus,CA1 O LM,0.000493115635626423,1.8954834973241436e-05,1.8954836040812814e-05,1.0675713785213148e-12
DG Basket,DG Total Molecular Layer,0.016842498286785523,1.8954834973241436e-05,1.8954836033991014e-05,1.060749578452036e-12
CA1 Ivy,CA1 O LM,0.0011021832261856846,1.8954834973241436e-05,1.895483602242648e-05,1.0491850443994366e-12
CA1 Perforant Path Associated,CA1 Basket CCK+,0.0035717245025277196,1.8954834973241436e-05,1.895483602094329e-05,1.0477018558274764e-12
CA1 R Receiving Apical Targeting,CA1 Basket CCK+,0.001807406759210824,1.8954834973241436e-05,1.8954835987086693e-05,1.013845257746837e-12
CA2 Bistratified,CA1 Pyramidal,1.382903010314565e-05,1.8954834973241436e-05,1.8954835976447634e-05,1.0032061986686713e-12
CA1 Basket,CA1 Radiatum Giant,0.00045077479217806753,1.8954834973241436e-05,1.8954835920959034e-05,9.477175988426012e-13
CA1 Radial Trilaminar,CA1 Bistratified,0.0004653228888396404,1.8954834973241436e-05,1.8954835863413053e-05,8.901716169740226e-13
CA1 Trilaminar,CA1 Radiatum Giant,3.349651052651995e-05,1.8954834973241436e-05,1.8954835852352456e-05,8.791110200911945e-13
CA1 Oriens Bistratified,CA1 R Receiving Apical Targeting,0.00238891909659428,1.8954834973241436e-05,1.8954835821484786e-05,8.482433505596632e-13
DG Total Molecular Layer,DG MOLAX,0.023160260872114778,1.8954834973241436e-05,1.8954835818204424e-05,8.44962988466591e-13
DG Basket,DG MOLAX,0.01551641938079995,1.8954834973241436e-05,1.895483580176098e-05,8.285195446378069e-13
CA1 O LMR,CA1 OR LM,0.0009854535678670451,1.8954834973241436e-05,1.8954835793368388e-05,8.201269524610311e-13
CA3 Mossy Fiber Associated,CA3 Basket,0.002618831576799347,1.8954834973241436e-05,1.895483576471596e-05,7.914745248083221e-13
CA1 Bistratified,CA1 Ivy,0.0035458673335803004,1.8954834973241436e-05,1.895483576410187e-05,7.908604326978264e-13
CA1 O LMR,CA1 Bistratified,0.0004918997243866059,1.8954834973241436e-05,1.8954835755069163e-05,7.818277275584151e-13
CA1 OR LM,CA1 Schaffer Collateral Associated,0.00024778106342801065,1.8954834973241436e-05,1.8954835737430495e-05,7.641890592546829e-13
DG Total Molecular Layer,DG Basket,0.013570525539235209,1.8954834973241436e-05,1.8954835733528885e-05,7.602874493167766e-13
CA1 O LM,CA1 Perforant Path Associated QuadD,0.005558793380747373,1.8954834973241436e-05,1.8954835723837202e-05,7.505957660969287e-13
CA1 Recurrent O LM,CA1 Perforant Path Associated QuadD,0.002668495390198239,1.8954834973241436e-05,1.895483570599557e-05,7.327541351465072e-13
MEC LIII Superficial Multipolar Interneuron,MEC LV Pyramidal,0.00046899947166128875,1.8954834973241436e-05,1.895483568557614e-05,7.123347051107842e-13
CA1 R Receiving Apical Targeting,CA1 Basket,0.0020439879957485584,1.8954834973241436e-05,1.8954835663925057e-05,6.906836214071177e-13
DG AIPRIM,DG HIPP,0.0025400393059684524,1.8954834973241436e-05,1.895483563297412e-05,6.597326851487395e-13
DG MOLAX,DG Basket,0.008084288264923445,1.8954834973241436e-05,1.8954835614801158e-05,6.415597220144065e-13
DG AIPRIM,DG HICAP,0.08752995038652836,1.8954834973241436e-05,1.8954835602630338e-05,6.293889021069532e-13
CA1 SO SO,CA1 Recurrent O LM,0.00042737517492266963,1.8954834973241436e-05,1.8954835596822484e-05,6.235810479093828e-13
CA1 O LMR,CA1 Schaffer Collateral Associated,0.000598275594731512,1.8954834973241436e-05,1.895483559334523e-05,6.201037947017873e-13
CA1 Perforant Path Associated,CA1 Basket,0.0034640060523775957,1.8954834973241436e-05,1.8954835584894525e-05,6.116530892885663e-13
CA3 Lucidum ORAX,CA3c Pyramidal,6.2513984086576145e-06,1.8954834973241436e-05,1.8954835570520606e-05,5.972791705666225e-13
CA1 Radial Trilaminar,CA1 Perforant Path Associated QuadD,0.003257515101101804,1.8954834973241436e-05,1.895483554577998e-05,5.725385443522413e-13
CA1 LMR,CA1 Basket CCK+,0.00076978748963931,1.8954834973241436e-05,1.8954835537047382e-05,5.63805946374174e-13
CA1 Bistratified,CA1 Recurrent O LM,0.0009217073998375511,1.8954834973241436e-05,1.895483553345477e-05,5.602133340554261e-13
CA3 Mossy Fiber Associated,CA3 Basket CCK+,0.0008817492922913403,1.8954834973241436e-05,1.89548355329916e-05,5.597501628873403e-13
MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,0.0008449149672315531,1.8954834973241436e-05,1.8954835532877107e-05,5.596356711379258e-13
CA2 Wide Arbor Basket,CA1 OR LM,0.02064954970443517,1.8954834973241436e-05,1.8954835523337862e-05,5.500964267435293e-13
CA1 Ivy,CA1 Schaffer Collateral Associated,0.0004896459912514625,1.8954834973241436e-05,1.895483551647703e-05,5.43235595396041e-13
CA1 Back Projection,CA1 Radiatum Giant,0.00012260488891358164,1.8954834973241436e-05,1.895483551522803e-05,5.419865944933377e-13
CA1 Ivy,CA1 Radial Trilaminar,0.008753779403793854,1.8954834973241436e-05,1.8954835496349035e-05,5.231075989042822e-13
MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,0.10666298750604312,1.8954834973241436e-05,1.8954835489299986e-05,5.160585500596504e-13
